Sheathing Material,Nail Type and Size,Minimum Nail Bearing Length in Framing Member or Blocking,Minimum Nominal Panel Thickness,Minimum Nominal Width of Nailed Face at Adjoining Panel Edges and Boundaries,Case,Panel Type,Unit Shear,Apparent Shear Stiffness Value
Wood Structural Panels - Structural I,6d common,1.25,0.3125,2,1,OSB,460,9
Wood Structural Panels - Structural I,6d common,1.25,0.3125,3,1,OSB,520,7
Wood Structural Panels - Structural I,8d common,1.375,0.375,2,1,OSB,670,8.5
Wood Structural Panels - Structural I,8d common,1.375,0.375,3,1,OSB,740,7.5
Wood Structural Panels - Structural I,10d common,1.5,0.46875,2,1,OSB,800,14
Wood Structural Panels - Structural I,10d common,1.5,0.46875,3,1,OSB,895,12
Wood Structural Panels - Sheathing,6d common,1.25,0.3125,2,1,OSB,420,9
Wood Structural Panels - Sheathing,6d common,1.25,0.3125,3,1,OSB,475,7
Wood Structural Panels - Sheathing,6d common,1.25,0.375,2,1,OSB,460,7.5
Wood Structural Panels - Sheathing,6d common,1.25,0.375,3,1,OSB,520,6
Wood Structural Panels - Sheathing,8d common,1.375,0.375,2,1,OSB,600,9
Wood Structural Panels - Sheathing,8d common,1.375,0.375,3,1,OSB,670,7.5
Wood Structural Panels - Sheathing,8d common,1.375,0.4375,2,1,OSB,645,8.5
Wood Structural Panels - Sheathing,8d common,1.375,0.4375,3,1,OSB,715,7
Wood Structural Panels - Sheathing,8d common,1.375,0.46875,2,1,OSB,670,7.5
Wood Structural Panels - Sheathing,8d common,1.375,0.46875,3,1,OSB,740,6.5
Wood Structural Panels - Sheathing,10d common,1.5,0.46875,2,1,OSB,715,15
Wood Structural Panels - Sheathing,10d common,1.5,0.46875,3,1,OSB,810,12
Wood Structural Panels - Sheathing,10d common,1.5,0.59375,2,1,OSB,800,13
Wood Structural Panels - Sheathing,10d common,1.5,0.59375,3,1,OSB,895,10
Wood Structural Panels - Structural I,6d common,1.25,0.3125,2,1,PLY,460,7
