Sheathing Material,Minimum Nominal Panel Thickness,Minimum Nail Bearing Length in Framing Member or Blocking,Nail Type and Size,Panel Edge Nail Spacing,Panel Type,Unit Shear,Apparent Shear Stiffness Value
Wood Structural Panels - Structural I,0.31250,1.250,6d common,6,OSB,560.0,13
Wood Structural Panels - Structural I,0.37500,1.375,8d common,6,OSB,645.0,19
Wood Structural Panels - Structural I,0.43750,1.375,8d common,6,OSB,715.0,16
Wood Structural Panels - Structural I,0.46875,1.375,8d common,6,OSB,785.0,14
Wood Structural Panels - Structural I,0.46875,1.500,10d common,6,OSB,950.0,22
Wood Structural Panels - Sheathing,0.31250,1.250,6d common,6,OSB,505.0,13
Wood Structural Panels - Sheathing,0.37500,1.250,6d common,6,OSB,560.0,11
Wood Structural Panels - Sheathing,0.37500,1.375,8d common,6,OSB,615.0,17
Wood Structural Panels - Sheathing,0.43750,1.375,8d common,6,OSB,670.0,15
Wood Structural Panels - Sheathing,0.46875,1.375,8d common,6,OSB,730.0,13
Wood Structural Panels - Sheathing,0.46875,1.500,10d common,6,OSB,870.0,22
Wood Structural Panels - Sheathing,0.59375,1.500,10d common,6,OSB,950.0,19
Plywood Siding,0.31250,1.250,6d galvanized casing,6,OSB,390.0,0
Plywood Siding,0.37500,1.375,8d galvanized casing,6,OSB,450.0,0
Particleboard Sheathing,0.37500,0.000,6d common,6,OSB,335.0,0
Particleboard Sheathing,0.37500,0.000,8d common,6,OSB,365.0,0
Particleboard Sheathing,0.50000,0.000,8d common,6,OSB,390.0,0
Particleboard Sheathing,0.50000,0.000,10d common,6,OSB,520.0,0
Particleboard Sheathing,0.62500,0.000,10d common,6,OSB,560.0,0
Wood Structural Panels - Structural I,0.31250,1.250,6d common,6,PLY,560.0,10
Wood Structural Panels - Structural I,0.37500,1.375,8d common,6,PLY,645.0,14
Wood Structural Panels - Structural I,0.43750,1.375,8d common,6,PLY,715.0,13
Wood Structural Panels - Structural I,0.46875,1.375,8d common,6,PLY,785.0,11
Wood Structural Panels - Structural I,0.46875,1.500,10d common,6,PLY,950.0,16
Wood Structural Panels - Sheathing,0.31250,1.250,6d common,6,PLY,505.0,9.5
Wood Structural Panels - Sheathing,0.37500,1.250,6d common,6,PLY,560.0,8.5
